min_length	max_length	error_rate	guanine_rate	filter_repeat	consecutive_errors
10	-1	20	10	on	1
10	-1	20	10	off	1
10	-1	20	10	on	1
10	-1	20	10	off	1
10	-1	20	10	on	3
10	-1	20	10	off	3
10	-1	20	10	on	3
10	-1	20	10	off	3
10	-1	20	10	on	1
10	-1	20	10	off	1
10	-1	20	10	on	1
10	-1	20	10	off	1
10	-1	20	10	on	3
10	-1	20	10	off	3
10	-1	20	10	on	3
10	-1	20	10	off	3
10	-1	10	10	on	1
10	-1	10	10	off	1
10	-1	10	10	on	1
10	-1	10	10	off	1
10	-1	10	10	on	3
10	-1	10	10	off	3
10	-1	10	10	on	3
10	-1	10	10	off	3
10	-1	10	10	on	1
10	-1	10	10	off	1
10	-1	10	10	on	1
10	-1	10	10	off	1
10	-1	10	10	on	3
10	-1	10	10	off	3
10	-1	10	10	on	3
10	-1	10	10	off	3
10	-1	20	40	on	1
10	-1	20	40	off	1
10	-1	20	40	on	1
10	-1	20	40	off	1
10	-1	20	40	on	3
10	-1	20	40	off	3
10	-1	20	40	on	3
10	-1	20	40	off	3
10	-1	20	40	on	1
10	-1	20	40	off	1
10	-1	20	40	on	1
10	-1	20	40	off	1
10	-1	20	40	on	3
10	-1	20	40	off	3
10	-1	20	40	on	3
10	-1	20	40	off	3
8	-1	20	40	on	1
8	-1	20	40	off	1
8	-1	20	40	on	1
8	-1	20	40	off	1
8	-1	20	40	on	3
8	-1	20	40	off	3
8	-1	20	40	on	3
8	-1	20	40	off	3
8	-1	20	40	on	1
8	-1	20	40	off	1
8	-1	20	40	on	1
8	-1	20	40	off	1
8	-1	20	40	on	3
8	-1	20	40	off	3
8	-1	20	40	on	3
8	-1	20	40	off	3
10	-1	10	40	on	1
10	-1	10	40	off	1
10	-1	10	40	on	1
10	-1	10	40	off	1
10	-1	10	40	on	3
10	-1	10	40	off	3
10	-1	10	40	on	3
10	-1	10	40	off	3
10	-1	10	40	on	1
10	-1	10	40	off	1
10	-1	10	40	on	1
10	-1	10	40	off	1
10	-1	10	40	on	3
10	-1	10	40	off	3
10	-1	10	40	on	3
10	-1	10	40	off	3
8	-1	10	40	on	1
8	-1	10	40	off	1
8	-1	10	40	on	1
8	-1	10	40	off	1
8	-1	10	40	on	3
8	-1	10	40	off	3
8	-1	10	40	on	3
8	-1	10	40	off	3
8	-1	10	40	on	1
8	-1	10	40	off	1
8	-1	10	40	on	1
8	-1	10	40	off	1
8	-1	10	40	on	3
8	-1	10	40	off	3
8	-1	10	40	on	3
8	-1	10	40	off	3
10	-1	20	70	on	1
10	-1	20	70	off	1
10	-1	20	70	on	1
10	-1	20	70	off	1
10	-1	20	70	on	3
10	-1	20	70	off	3
10	-1	20	70	on	3
10	-1	20	70	off	3
10	-1	20	70	on	1
10	-1	20	70	off	1
10	-1	20	70	on	1
10	-1	20	70	off	1
10	-1	20	70	on	3
10	-1	20	70	off	3
10	-1	20	70	on	3
10	-1	20	70	off	3
8	-1	20	70	on	1
8	-1	20	70	off	1
8	-1	20	70	on	1
8	-1	20	70	off	1
8	-1	20	70	on	3
8	-1	20	70	off	3
8	-1	20	70	on	3
8	-1	20	70	off	3
8	-1	20	70	on	1
8	-1	20	70	off	1
8	-1	20	70	on	1
8	-1	20	70	off	1
8	-1	20	70	on	3
8	-1	20	70	off	3
8	-1	20	70	on	3
8	-1	20	70	off	3
10	-1	10	70	on	1
10	-1	10	70	off	1
10	-1	10	70	on	1
10	-1	10	70	off	1
10	-1	10	70	on	3
10	-1	10	70	off	3
10	-1	10	70	on	3
10	-1	10	70	off	3
10	-1	10	70	on	1
10	-1	10	70	off	1
10	-1	10	70	on	1
10	-1	10	70	off	1
10	-1	10	70	on	3
10	-1	10	70	off	3
10	-1	10	70	on	3
10	-1	10	70	off	3
8	-1	10	70	on	1
8	-1	10	70	off	1
8	-1	10	70	on	1
8	-1	10	70	off	1
8	-1	10	70	on	3
8	-1	10	70	off	3
8	-1	10	70	on	3
8	-1	10	70	off	3
8	-1	10	70	on	1
8	-1	10	70	off	1
8	-1	10	70	on	1
8	-1	10	70	off	1
8	-1	10	70	on	3
8	-1	10	70	off	3
8	-1	10	70	on	3
8	-1	10	70	off	3
